Sintoma, Numero de Doencas
http://www.example.org/disease-ontology#abdominal_pain, 9
http://www.example.org/disease-ontology#abnormal_menstruation, 2
http://www.example.org/disease-ontology#acidity, 2
http://www.example.org/disease-ontology#acute_liver_failure, 1
http://www.example.org/disease-ontology#altered_sensorium, 1
http://www.example.org/disease-ontology#anxiety, 1
http://www.example.org/disease-ontology#back_pain, 2
http://www.example.org/disease-ontology#belly_pain, 1
http://www.example.org/disease-ontology#blackheads, 1
http://www.example.org/disease-ontology#bladder_discomfort, 1
http://www.example.org/disease-ontology#blister, 1
http://www.example.org/disease-ontology#blood_in_sputum, 1
http://www.example.org/disease-ontology#bloody_stool, 1
http://www.example.org/disease-ontology#blurred_and_distorted_vision, 3
http://www.example.org/disease-ontology#breathlessness, 4
http://www.example.org/disease-ontology#brittle_nails, 1
http://www.example.org/disease-ontology#bruising, 1
http://www.example.org/disease-ontology#burning_micturition, 2
http://www.example.org/disease-ontology#chest_pain, 6
http://www.example.org/disease-ontology#chills, 7
http://www.example.org/disease-ontology#cold_hands_and_feets, 1
http://www.example.org/disease-ontology#coma, 1
http://www.example.org/disease-ontology#congestion, 1
http://www.example.org/disease-ontology#constipation, 2
http://www.example.org/disease-ontology#continuous_feel_of_urine, 1
http://www.example.org/disease-ontology#continuous_sneezing, 2
http://www.example.org/disease-ontology#cough, 5
http://www.example.org/disease-ontology#cramps, 1
http://www.example.org/disease-ontology#dark_urine, 5
http://www.example.org/disease-ontology#dehydration, 1
http://www.example.org/disease-ontology#depression, 2
http://www.example.org/disease-ontology#diarrhoea, 5
http://www.example.org/disease-ontology#dischromic__patches, 1
http://www.example.org/disease-ontology#distention_of_abdomen, 1
http://www.example.org/disease-ontology#dizziness, 3
http://www.example.org/disease-ontology#drying_and_tingling_lips, 1
http://www.example.org/disease-ontology#enlarged_thyroid, 1
http://www.example.org/disease-ontology#excessive_hunger, 4
http://www.example.org/disease-ontology#extra_marital_contacts, 1
http://www.example.org/disease-ontology#family_history, 2
http://www.example.org/disease-ontology#fast_heart_rate, 2
http://www.example.org/disease-ontology#fatigue, 17
http://www.example.org/disease-ontology#fluid_overload, 1
http://www.example.org/disease-ontology#foul_smell_of_urine, 1
http://www.example.org/disease-ontology#headache, 10
http://www.example.org/disease-ontology#high_fever, 12
http://www.example.org/disease-ontology#hip_joint_pain, 1
http://www.example.org/disease-ontology#history_of_alcohol_consumption, 1
http://www.example.org/disease-ontology#increased_appetite, 1
http://www.example.org/disease-ontology#indigestion, 2
http://www.example.org/disease-ontology#inflammatory_nails, 1
http://www.example.org/disease-ontology#internal_itching, 1
http://www.example.org/disease-ontology#irregular_sugar_level, 1
http://www.example.org/disease-ontology#irritability, 4
http://www.example.org/disease-ontology#irritation_in_anus, 1
http://www.example.org/disease-ontology#itching, 6
http://www.example.org/disease-ontology#joint_pain, 6
http://www.example.org/disease-ontology#knee_pain, 1
http://www.example.org/disease-ontology#lack_of_concentration, 1
http://www.example.org/disease-ontology#lethargy, 4
http://www.example.org/disease-ontology#loss_of_appetite, 10
http://www.example.org/disease-ontology#loss_of_balance, 3
http://www.example.org/disease-ontology#loss_of_smell, 1
http://www.example.org/disease-ontology#malaise, 6
http://www.example.org/disease-ontology#mild_fever, 3
http://www.example.org/disease-ontology#mood_swings, 2
http://www.example.org/disease-ontology#movement_stiffness, 1
http://www.example.org/disease-ontology#mucoid_sputum, 1
http://www.example.org/disease-ontology#muscle_pain, 4
http://www.example.org/disease-ontology#muscle_wasting, 1
http://www.example.org/disease-ontology#muscle_weakness, 2
http://www.example.org/disease-ontology#nausea, 10
http://www.example.org/disease-ontology#neck_pain, 2
http://www.example.org/disease-ontology#nodal_skin_eruptions, 1
http://www.example.org/disease-ontology#obesity, 2
http://www.example.org/disease-ontology#pain_behind_the_eyes, 1
http://www.example.org/disease-ontology#pain_during_bowel_movements, 1
http://www.example.org/disease-ontology#pain_in_anal_region, 1
http://www.example.org/disease-ontology#painful_walking, 2
http://www.example.org/disease-ontology#palpitations, 1
http://www.example.org/disease-ontology#passage_of_gases, 1
http://www.example.org/disease-ontology#patches_in_throat, 1
http://www.example.org/disease-ontology#phlegm, 3
http://www.example.org/disease-ontology#polyuria, 1
http://www.example.org/disease-ontology#prominent_veins_on_calf, 1
http://www.example.org/disease-ontology#puffy_face_and_eyes, 1
http://www.example.org/disease-ontology#pus_filled_pimples, 1
http://www.example.org/disease-ontology#receiving_blood_transfusion, 1
http://www.example.org/disease-ontology#receiving_unsterile_injections, 1
http://www.example.org/disease-ontology#red_sore_around_nose, 1
http://www.example.org/disease-ontology#red_spots_over_body, 2
http://www.example.org/disease-ontology#redness_of_eyes, 1
http://www.example.org/disease-ontology#restlessness, 2
http://www.example.org/disease-ontology#runny_nose, 1
http://www.example.org/disease-ontology#rusty_sputum, 1
http://www.example.org/disease-ontology#scurring, 1
http://www.example.org/disease-ontology#shivering, 1
http://www.example.org/disease-ontology#silver_like_dusting, 1
http://www.example.org/disease-ontology#sinus_pressure, 1
http://www.example.org/disease-ontology#skin_peeling, 1
http://www.example.org/disease-ontology#skin_rash, 7
http://www.example.org/disease-ontology#slurred_speech, 1
http://www.example.org/disease-ontology#small_dents_in_nails, 1
http://www.example.org/disease-ontology#spinning_movements, 1
http://www.example.org/disease-ontology#spotting__urination, 1
http://www.example.org/disease-ontology#stiff_neck, 2
http://www.example.org/disease-ontology#stomach_bleeding, 1
http://www.example.org/disease-ontology#stomach_pain, 2
http://www.example.org/disease-ontology#sunken_eyes, 1
http://www.example.org/disease-ontology#sweating, 6
http://www.example.org/disease-ontology#swelled_lymph_nodes, 3
http://www.example.org/disease-ontology#swelling_joints, 2
http://www.example.org/disease-ontology#swelling_of_stomach, 1
http://www.example.org/disease-ontology#swollen_blood_vessels, 1
http://www.example.org/disease-ontology#swollen_extremeties, 1
http://www.example.org/disease-ontology#swollen_legs, 1
http://www.example.org/disease-ontology#throat_irritation, 1
http://www.example.org/disease-ontology#toxic_look_(typhos), 1
http://www.example.org/disease-ontology#ulcers_on_tongue, 1
http://www.example.org/disease-ontology#unsteadiness, 1
http://www.example.org/disease-ontology#visual_disturbances, 1
http://www.example.org/disease-ontology#vomiting, 17
http://www.example.org/disease-ontology#watering_from_eyes, 1
http://www.example.org/disease-ontology#weakness_in_limbs, 1
http://www.example.org/disease-ontology#weakness_of_one_body_side, 1
http://www.example.org/disease-ontology#weight_gain, 1
http://www.example.org/disease-ontology#weight_loss, 4
http://www.example.org/disease-ontology#yellow_crust_ooze, 1
http://www.example.org/disease-ontology#yellow_urine, 1
http://www.example.org/disease-ontology#yellowing_of_eyes, 7
http://www.example.org/disease-ontology#yellowish_skin, 8
