Tratamento, Numero de Doencas
http://www.example.org/disease-ontology#Consult_nearest_hospital, 3
http://www.example.org/disease-ontology#acetaminophen, 1
http://www.example.org/disease-ontology#anti_itch_medicine, 1
http://www.example.org/disease-ontology#antiboitic_therapy, 1
http://www.example.org/disease-ontology#apply_calamine, 1
http://www.example.org/disease-ontology#avoid_abrupt_head_movment, 1
http://www.example.org/disease-ontology#avoid_cold_food, 1
http://www.example.org/disease-ontology#avoid_fatty_spicy_food, 6
http://www.example.org/disease-ontology#avoid_lying_down_after_eating, 1
http://www.example.org/disease-ontology#avoid_non_veg_food, 1
http://www.example.org/disease-ontology#avoid_oily_food, 1
http://www.example.org/disease-ontology#avoid_open_cuts, 1
http://www.example.org/disease-ontology#avoid_public_places, 1
http://www.example.org/disease-ontology#avoid_sudden_change_in_body, 1
http://www.example.org/disease-ontology#avoid_too_many_products, 1
http://www.example.org/disease-ontology#bath_twice, 2
http://www.example.org/disease-ontology#call_ambulance, 1
http://www.example.org/disease-ontology#check_in_pulse, 1
http://www.example.org/disease-ontology#chew_or_swallow_asprin, 1
http://www.example.org/disease-ontology#cold_baths, 1
http://www.example.org/disease-ontology#consult_doctor, 15
http://www.example.org/disease-ontology#consult_nearest_hospital, 3
http://www.example.org/disease-ontology#consume_alovera_juice, 1
http://www.example.org/disease-ontology#consume_milk_thistle, 1
http://www.example.org/disease-ontology#consume_neem_leaves, 1
http://www.example.org/disease-ontology#consume_probiotic_food, 1
http://www.example.org/disease-ontology#consume_witch_hazel, 1
http://www.example.org/disease-ontology#cover_area_with_bandage, 1
http://www.example.org/disease-ontology#cover_mouth, 1
http://www.example.org/disease-ontology#dont_stand_still_for_long, 1
http://www.example.org/disease-ontology#drink_cranberry_juice, 1
http://www.example.org/disease-ontology#drink_papaya_leaf_juice, 1
http://www.example.org/disease-ontology#drink_plenty_of_water, 3
http://www.example.org/disease-ontology#drink_sugary_drinks, 1
http://www.example.org/disease-ontology#drink_vitamin_c_rich_drinks, 1
http://www.example.org/disease-ontology#ease_back_into_eating, 1
http://www.example.org/disease-ontology#eat_fruits_and_high_fiberous_food, 1
http://www.example.org/disease-ontology#eat_healthy, 7
http://www.example.org/disease-ontology#eat_high_calorie_vegitables, 1
http://www.example.org/disease-ontology#eliminate_milk, 1
http://www.example.org/disease-ontology#exercise, 6
http://www.example.org/disease-ontology#follow_up, 7
http://www.example.org/disease-ontology#get_away_from_trigger, 1
http://www.example.org/disease-ontology#get_proper_sleep, 2
http://www.example.org/disease-ontology#have_balanced_diet, 1
http://www.example.org/disease-ontology#increase_vitamin_c_intake, 1
http://www.example.org/disease-ontology#keep_calm, 1
http://www.example.org/disease-ontology#keep_fever_in_check, 1
http://www.example.org/disease-ontology#keep_hydrated, 1
http://www.example.org/disease-ontology#keep_infected_area_dry, 1
http://www.example.org/disease-ontology#keep_mosquitos_away, 1
http://www.example.org/disease-ontology#keep_mosquitos_out, 1
http://www.example.org/disease-ontology#lie_down, 1
http://www.example.org/disease-ontology#lie_down_flat_and_raise_the_leg_high, 1
http://www.example.org/disease-ontology#lie_down_on_side, 1
http://www.example.org/disease-ontology#limit_alcohol, 1
http://www.example.org/disease-ontology#maintain_healthy_weight, 1
http://www.example.org/disease-ontology#massage, 3
http://www.example.org/disease-ontology#medication, 10
http://www.example.org/disease-ontology#meditation, 2
http://www.example.org/disease-ontology#reduce_stress, 3
http://www.example.org/disease-ontology#relax, 1
http://www.example.org/disease-ontology#remove_scabs_with_wet_compressed_cloth, 1
http://www.example.org/disease-ontology#rest, 4
http://www.example.org/disease-ontology#salt_baths, 3
http://www.example.org/disease-ontology#seek_help, 1
http://www.example.org/disease-ontology#soak_affected_area_in_warm_water, 1
http://www.example.org/disease-ontology#stop_alcohol_consumption, 2
http://www.example.org/disease-ontology#stop_bleeding_using_pressure, 1
http://www.example.org/disease-ontology#stop_eating_solid_food_for_while, 1
http://www.example.org/disease-ontology#stop_irritation, 1
http://www.example.org/disease-ontology#stop_taking_drug, 1
http://www.example.org/disease-ontology#switch_to_loose_cloothing, 1
http://www.example.org/disease-ontology#take_deep_breaths, 1
http://www.example.org/disease-ontology#take_otc_pain_reliver, 1
http://www.example.org/disease-ontology#take_probiotics, 1
http://www.example.org/disease-ontology#take_radioactive_iodine_treatment, 1
http://www.example.org/disease-ontology#take_vaccine, 1
http://www.example.org/disease-ontology#take_vapour, 1
http://www.example.org/disease-ontology#try_acupuncture, 1
http://www.example.org/disease-ontology#try_taking_small_sips_of_water, 1
http://www.example.org/disease-ontology#use_antibiotics, 1
http://www.example.org/disease-ontology#use_clean_cloths, 1
http://www.example.org/disease-ontology#use_detol_or_neem_in_bathing_water, 1
http://www.example.org/disease-ontology#use_heating_pad_or_cold_pack, 1
http://www.example.org/disease-ontology#use_hot_and_cold_therapy, 1
http://www.example.org/disease-ontology#use_ice_to_compress_itching, 1
http://www.example.org/disease-ontology#use_lemon_balm, 1
http://www.example.org/disease-ontology#use_neem_in_bathing, 1
http://www.example.org/disease-ontology#use_oinments, 1
http://www.example.org/disease-ontology#use_poloroid_glasses_in_sun, 1
http://www.example.org/disease-ontology#use_vein_compression, 1
http://www.example.org/disease-ontology#vaccination, 2
http://www.example.org/disease-ontology#warm_bath_with_epsom_salt, 1
http://www.example.org/disease-ontology#wash_hands_through, 1
http://www.example.org/disease-ontology#wash_hands_with_warm_soapy_water, 1
http://www.example.org/disease-ontology#wear_ppe_if_possible, 1
